4.286096236275898e14 + 5.031365208702976e15im
1.7582632980574972e14 + 1.1285242469133585e15im
-1.8248311535620722e14 + 3.742319289885148e14im
5.765053681060375e13 + 8.429571860333711e13im
-2.706806448819955e11 + 4.275386387332847e13im
9.278783818150613e12 + 8.619131611331565e12im
1.8514505868322527e12 + 5.705142972018568e12im
1.454278575873376e12 + 9.389019554119491e11im
3.3268388076792163e11 + 4.0923252600945184e11im
2.5527568946282275e11 - 1.1198846794942534e11im
6.841827601265276e10 + 2.271122993865983e10im
9.499073662642868e9 - 2.9620767335122696e10im
4.852807123639833e9 - 1.2742772186637177e9im
-3.7488567362977657e9 - 1.9760410631796935e9im
-7.094881835617384e7 + 3.993581983408294e8im
-3.604972307590325e8 + 3.3375840589256984e8im
2.4239836229868848e7 + 8.334748307740246e7im
-1.0499896130758203e6 + 4.397771162899695e7im
8.505730223212194e6 + 9.403265283381362e6im
3.0411618442807165e6 + 2.623794216354225e6im
1.1818570686951934e6 + 637670.1847278584im
534092.3903113626 + 144882.71456640473im
194069.1304414106 - 1630.8330289186626im
3.862935856177432e6 - 7321.544867765952im
2.0202070968999782e8 - 7260.260763273261im
4.516643020052792e9 - 4581.65223082967im
5.87621085987384e10 - 1689.677605365455im
4.9832083418204565e11 - 742.6124230913902im
2.884802037511881e12 - 292.2795052683672im
1.1614438735896166e13 - 131.84949709491343im
3.279355195653034e13 - 53.23751082131402im
6.519529674956044e13 - 23.354725398905824im
9.127220479289575e13 - 9.659500615837176im
8.957709422459252e13 - 2.9735703587471125im
6.101398887308904e13 - 0.9635718190367322im
2.842364455372048e13 + 0.085923601697543im
8.932407943962709e12 + 0.0831958683103194im
1.8818356877189756e12 + 0.05466832330227272im
2.6329530992899628e11 + 0.014907820664895577im
2.3653586026001183e10 + 0.003803514812798167im
1.2622885680005617e9 + 0.0008126898565908237im
3.2973249000143073e7 + 0.00016459666284546263im
294690.0000658998 + 4.4441393005076186e-5im
348.000014420994 + 2.0771626147054942e-5im
